lcl|U00096.3_cds_AAC73112.1_1	AAC73112.1	100	21	0	0	1	63	1	21	8.64e-08	38.5
lcl|U00096.3_cds_AAC73113.1_2	AAC73113.1	100	820	0	0	1	2460	1	820	0.0	1589
lcl|U00096.3_cds_AAC73113.1_2	AAC76922.1	30.5	820	528	15	13	2436	16	805	3.61e-103	334
lcl|U00096.3_cds_AAC73113.1_2	AAC76994.1	30.1	471	288	10	7	1380	6	448	2.32e-47	172
lcl|U00096.3_cds_AAC73114.1_3	AAC73114.1	100	310	0	0	1	930	1	310	1.04e-230	624
lcl|U00096.3_cds_AAC73115.1_4	AAC73115.1	100	428	0	0	1	1284	1	428	3.49e-316	850
lcl|U00096.3_cds_AAC73116.1_5	AAC73116.1	100	97	0	0	4	294	2	98	5.27e-50	150
lcl|U00096.3_cds_AAC73116.1_5	AAC75449.1	64.6	48	17	0	13	156	3	50	9.47e-17	66.6
lcl|U00096.3_cds_AAC73117.1_6	AAC73117.1	100	258	0	0	1	774	1	258	1.23e-187	511
lcl|U00096.3_cds_AAC73118.1_7	AAC73118.1	100	476	0	0	1	1428	1	476	0.0	922
lcl|U00096.3_cds_AAC73119.1_8	AAC73119.1	100	317	0	0	1	951	1	317	7.03e-228	618
lcl|U00096.3_cds_AAC73119.1_8	AAC75517.1	64.4	312	111	0	7	942	2	313	7.61e-144	405
lcl|U00096.3_cds_AAC73120.1_9	AAC73120.1	100	195	0	0	1	585	1	195	1.99e-139	384
lcl|U00096.3_cds_AAC73121.1_10	AAC73121.1	100	188	0	0	1	564	1	188	1.03e-133	369
lcl|U00096.3_cds_AAC73122.1_11	AAC73122.1	100	237	0	0	1	711	1	237	1.47e-164	451
lcl|U00096.3_cds_AAC73122.1_11	AYC08161.1	100	161	0	0	527	45	1	161	2.92e-112	316
lcl|U00096.3_cds_AYC08161.1_12	AYC08161.1	100	161	0	0	1	483	1	161	1.04e-113	316
lcl|U00096.3_cds_AYC08161.1_12	AAC73122.1	100	161	0	0	485	3	15	175	9.39e-111	311
lcl|U00096.3_cds_AAC73124.1_13	AAC73124.1	100	134	0	0	1	402	1	134	4.36e-93	262
lcl|U00096.3_cds_AAC73125.1_14	AAC73125.1	100	638	0	0	1	1914	1	638	0.0	1207
lcl|U00096.3_cds_AAC73125.1_14	AAC75579.1	42.3	582	312	7	16	1755	23	582	7.21e-137	410
lcl|U00096.3_cds_AAC73125.1_14	AAC73751.1	33.5	489	275	11	13	1458	8	453	5.23e-78	255
lcl|U00096.3_cds_AAC73126.1_15	AAC73126.1	100	376	0	0	1	1128	1	376	1.81e-246	670
lcl|U00096.3_cds_AAC73126.1_15	AAC74085.1	32.4	349	172	7	1	1032	1	290	1.35e-37	134
lcl|U00096.3_cds_AAC73127.1_16	AAC73127.1	100	370	0	0	1	1110	1	370	8.13e-272	733
lcl|U00096.3_cds_AAC73127.1_16	AAC73683.1	100	370	0	0	1	1110	1	370	8.13e-272	733
lcl|U00096.3_cds_AAC73127.1_16	AAC75453.2	100	370	0	0	1	1110	1	370	8.13e-272	733
lcl|U00096.3_cds_AAC73129.1_17	AAC73129.1	100	69	0	0	1	207	1	69	1.73e-44	134
lcl|U00096.3_cds_AAC73129.1_17	AAT48122.1	100	50	0	0	58	207	1	50	6.81e-30	97.1
lcl|U00096.3_cds_AAC73129.1_17	AAC74635.1	82.0	50	9	0	58	207	1	50	1.53e-24	83.6
lcl|U00096.3_cds_AAT48122.1_18	AAT48122.1	100	50	0	0	1	150	1	50	4.35e-30	96.7
lcl|U00096.3_cds_AAT48122.1_18	AAC73129.1	100	50	0	0	1	150	20	69	7.03e-30	96.7
lcl|U00096.3_cds_AAT48122.1_18	AAC74635.1	82.0	50	9	0	1	150	1	50	9.84e-25	83.2
lcl|U00096.3_cds_AAC73130.1_19	AAC73130.1	99.7	388	1	0	1	1164	1	388	3.17e-269	728
lcl|U00096.3_cds_AAC73131.1_20	AAC73131.1	100	301	0	0	1	903	1	301	2.64e-224	607
lcl|U00096.3_cds_AAC73132.1_21	AAC73132.1	100	167	0	0	1	501	1	167	2.53e-126	348
lcl|U00096.3_cds_AAC73132.1_21	AAC74963.1	100	167	0	0	1	501	1	167	2.53e-126	348
lcl|U00096.3_cds_AAC73132.1_21	AAC76470.1	100	167	0	0	1	501	1	167	2.53e-126	348
lcl|U00096.3_cds_AAC73132.1_21	AYC08167.1	100	167	0	0	1	501	1	167	2.53e-126	348
